Mapa          Enemigo          Jugador          Derrotados
Desierto          Enano          Ronald          18
Desierto          Enano          Manuel          16
Desierto          Enano          Jhonatan          20
Desierto          Enano          Cesar          15
Desierto          Enano          Pablo          98
Desierto          Troll          Ronald          37
Desierto          Troll          Manuel          59
Desierto          Troll          Jhonatan          79
Desierto          Troll          Cesar          23
Desierto          Troll          Pablo          53
Desierto          Caballero          Ronald          38
Desierto          Caballero          Manuel          60
Desierto          Caballero          Jhonatan          80
Desierto          Caballero          Cesar          24
Desierto          Caballero          Pablo          54
Desierto          Arquero          Ronald          39
Desierto          Arquero          Manuel          61
Desierto          Arquero          Jhonatan          81
Desierto          Arquero          Cesar          25
Desierto          Arquero          Pablo          55
Desierto          Maquina          Ronald          40
Desierto          Maquina          Manuel          62
Desierto          Maquina          Jhonatan          82
Desierto          Maquina          Cesar          26
Desierto          Maquina          Pablo          56
Bosque          Enano          Ronald          25
Bosque          Enano          Manuel          10
Bosque          Enano          Jhonatan          8
Bosque          Enano          Cesar          45
Bosque          Enano          Pablo          100
Bosque          Troll          Ronald          38
Bosque          Troll          Manuel          60
Bosque          Troll          Jhonatan          80
Bosque          Troll          Cesar          24
Bosque          Troll          Pablo          54
Bosque          Caballero          Ronald          39
Bosque          Caballero          Manuel          61
Bosque          Caballero          Jhonatan          81
Bosque          Caballero          Cesar          25
Bosque          Caballero          Pablo          55
Bosque          Arquero          Ronald          40
Bosque          Arquero          Manuel          62
Bosque          Arquero          Jhonatan          82
Bosque          Arquero          Cesar          26
Bosque          Arquero          Pablo          56
Bosque          Maquina          Ronald          41
Bosque          Maquina          Manuel          63
Bosque          Maquina          Jhonatan          83
Bosque          Maquina          Cesar          27
Bosque          Maquina          Pablo          57
Mar          Enano          Ronald          125
Mar          Enano          Manuel          110
Mar          Enano          Jhonatan          18
Mar          Enano          Cesar          145
Mar          Enano          Pablo          1100
Mar          Troll          Ronald          39
Mar          Troll          Manuel          61
Mar          Troll          Jhonatan          81
Mar          Troll          Cesar          25
Mar          Troll          Pablo          55
Mar          Caballero          Ronald          40
Mar          Caballero          Manuel          62
Mar          Caballero          Jhonatan          82
Mar          Caballero          Cesar          26
Mar          Caballero          Pablo          56
Mar          Arquero          Ronald          41
Mar          Arquero          Manuel          63
Mar          Arquero          Jhonatan          83
Mar          Arquero          Cesar          27
Mar          Arquero          Pablo          57
Mar          Maquina          Ronald          42
Mar          Maquina          Manuel          64
Mar          Maquina          Jhonatan          84
Mar          Maquina          Cesar          28
Mar          Maquina          Pablo          58
Ciudad          Enano          Ronald          56
Ciudad          Enano          Manuel          98
Ciudad          Enano          Jhonatan          78
Ciudad          Enano          Cesar          190
Ciudad          Enano          Pablo          8200
Ciudad          Troll          Ronald          40
Ciudad          Troll          Manuel          62
Ciudad          Troll          Jhonatan          82
Ciudad          Troll          Cesar          26
Ciudad          Troll          Pablo          56
Ciudad          Caballero          Ronald          41
Ciudad          Caballero          Manuel          63
Ciudad          Caballero          Jhonatan          83
Ciudad          Caballero          Cesar          27
Ciudad          Caballero          Pablo          57
Ciudad          Arquero          Ronald          42
Ciudad          Arquero          Manuel          64
Ciudad          Arquero          Jhonatan          84
Ciudad          Arquero          Cesar          28
Ciudad          Arquero          Pablo          58
Ciudad          Maquina          Ronald          43
Ciudad          Maquina          Manuel          65
Ciudad          Maquina          Jhonatan          85
Ciudad          Maquina          Cesar          29
Ciudad          Maquina          Pablo          59
